income,credit_score,loan_amount,employment_years,existing_debt,approved
103587,492,115053,21,14908,0
31949,610,100665,21,50626,0
80393,418,5645,9,37228,0
163013,517,35930,20,23386,1
50934,726,86835,11,46754,0
179458,713,35090,14,28302,1
100745,413,92489,20,60815,0
119456,444,57142,9,63344,0
78413,837,116979,13,35618,1
122239,602,31475,12,76234,1
67318,644,23888,4,61114,0
95390,300,48732,5,70130,0
68088,446,86623,23,25525,0
128196,586,51305,1,79818,0
80479,352,51037,21,14334,0
44963,603,14346,16,62767,0
80123,368,5587,3,6644,0
150911,660,17763,13,32933,1
127468,519,64165,9,43469,0
98477,460,112481,2,33687,0
39388,388,74615,24,52656,0
30569,458,41116,2,17375,0
94836,788,90751,14,65206,1
129573,623,96353,5,36607,0
168087,680,95301,16,23993,1
70002,401,100648,11,44386,0
162326,793,30556,21,46287,1
173216,318,64042,19,76312,0
162162,753,23099,23,75324,1
167709,781,114089,28,71196,1
178487,696,50096,10,70014,1
49071,578,76986,24,8210,0
83243,664,18230,3,10922,1
150827,630,34009,25,36289,1
133215,643,75969,27,33340,1
126570,754,38866,25,39850,1
94724,364,110400,5,56984,0
140359,375,89246,0,11094,0
100697,442,81975,19,33418,0
53732,772,46855,22,5741,1
146465,716,86557,27,72374,1
167386,604,11416,15,68798,1
82108,796,77516,14,70532,1
136195,590,60915,16,22164,1
128081,401,23058,7,35595,0
61668,566,81637,27,30257,0
48061,302,45718,25,14211,0
104252,384,37602,11,5232,0
64749,627,79658,26,67753,0
155560,749,83112,21,52691,1
129680,753,63067,20,79768,1
172979,520,32516,9,25613,1
174849,453,92969,26,14026,1
76745,311,6089,14,53535,0
133464,432,42346,29,30908,1
116865,603,79663,8,52113,0
137428,592,15487,1,19610,1
48624,599,5155,4,46646,0
48321,342,72494,5,63185,0
166560,642,81229,6,72567,1
47574,625,109648,20,47574,0
161312,797,43547,24,36182,1
166550,663,33795,0,570,1
175334,726,60296,22,19288,1
143831,320,26447,25,78824,0
160504,706,41598,6,29877,1
120257,635,46814,19,917,1
89291,416,95751,24,75602,0
152600,423,80330,29,64575,0
75428,698,103745,11,72518,0
156374,350,92960,15,39104,0
156127,623,68278,15,18062,1
136317,440,60077,10,16999,0
164789,769,117782,20,61845,1
152449,633,107932,3,9941,1
53699,672,76906,12,61169,0
98686,793,14528,6,23470,1
92661,838,98812,3,59821,1
69247,455,55100,14,44435,0
172820,590,114869,18,4529,1
130113,443,13179,8,12192,0
29621,405,53781,10,74102,0
171106,719,60267,7,72762,1
161198,301,87379,0,34087,0
161194,389,28952,22,66677,0
43030,644,58798,24,4627,1
107838,649,103696,23,56541,1
109717,758,115434,7,68226,0
63638,562,55939,12,3255,0
92067,650,34516,21,57433,1
143033,407,61526,26,5213,1
130977,338,15449,3,19404,0
113869,458,55290,7,25380,0
130186,611,91661,2,19173,0
59674,540,77954,28,53027,0
71271,744,27746,8,23989,1
98688,597,72990,28,24519,1
136076,335,63810,1,22439,0
166339,383,88297,1,76949,0
26062,751,20223,27,14995,1
75448,684,77237,12,23559,1
120462,471,7597,14,5021,1
162301,675,70677,27,21119,1
72915,661,7659,22,51539,1
29632,440,91516,11,39350,0
129592,417,79567,25,46223,0
159668,576,20037,3,25517,1
134779,519,51738,25,78653,1
162240,325,108965,7,22250,0
133099,820,76678,8,66798,1
32561,309,17109,22,54199,0
107152,677,27010,4,59546,1
150036,451,13787,23,3327,1
149049,348,113400,19,29768,0
51734,453,13472,17,64418,0
162443,592,28383,10,42788,1
51069,349,66709,14,46830,0
37910,830,74785,27,52446,1
98479,359,118253,21,15160,0
106264,466,39518,8,56583,0
48275,501,58909,16,33998,0
97274,445,23351,26,27230,1
125776,738,74624,25,9076,1
73447,541,58330,11,69341,0
151394,782,20282,6,31085,1
100703,407,89866,9,55571,0
101090,525,112945,24,14715,0
42260,731,26778,25,5750,1
137581,718,29264,24,78768,1
28812,754,64675,9,35903,0
141148,459,10075,26,72489,1
141421,822,80948,12,32093,1
26605,376,53454,18,34314,0
97303,808,33365,10,48225,1
101125,740,77766,12,35179,1
169990,553,53200,20,25338,1
149040,619,16002,7,69681,1
169118,562,18947,7,32101,1
29324,673,84222,3,2775,0
101323,466,99840,14,45619,0
34111,758,83610,27,45838,1
41389,579,57142,10,19539,0
147177,601,61307,10,57124,1
66427,830,9493,0,65149,1
147883,517,55085,16,26616,1
156189,401,39228,14,79655,0
150808,587,84676,19,54567,1
137221,466,56875,5,37099,0
38234,335,36655,23,75831,0
78441,652,48472,21,61799,1
25846,372,54437,27,25479,0
35954,652,54416,24,46172,1
104239,369,64711,14,55863,0
71514,724,11816,8,42043,1
113236,816,82175,13,15408,1
122579,727,69307,17,57980,1
162541,838,117728,25,16351,1
67101,459,51733,16,4131,0
89323,448,100028,17,44825,0
116922,529,16240,4,11349,0
152534,366,103234,19,60931,0
92584,680,97493,19,44254,1
129537,357,103344,8,38225,0
103477,558,76363,10,12453,0
67533,641,37762,23,18814,1
26828,429,13259,21,18263,0
26917,471,55139,0,77694,0
45618,508,19849,17,15735,0
57254,653,86768,5,15830,0
130292,770,111108,26,47893,1
72362,415,94709,1,44673,0
45128,563,59869,14,45066,0
148781,741,68095,28,3373,1
90545,847,75910,25,10335,1
107180,752,91710,20,23741,1
112958,776,28567,13,10692,1
165937,586,40292,4,47295,1
158291,602,79813,5,45541,0
64809,610,102136,5,34057,0
141748,507,56631,29,66983,1
30287,745,14885,21,19583,1
33512,354,64659,29,22765,0
157414,311,59306,17,59287,0
133872,699,71314,13,23906,1
175288,814,70087,9,79675,1
118070,841,34165,13,46525,1
104767,536,63929,12,38230,0
122829,578,72028,29,19520,1
67078,647,100998,2,51934,0
131288,403,54812,29,25566,1
108524,816,55500,5,73193,1
37219,547,84151,28,30134,0
25235,663,63643,7,10345,0
67929,620,49900,11,41185,0
152309,585,47946,12,70744,1
92444,448,12851,10,33455,0
164639,383,21288,11,28018,0
126834,705,77692,0,54219,0
109555,755,72580,16,45991,1
98698,460,12368,15,73616,0
149450,759,90436,10,9486,1
161487,849,101136,12,38862,1
68925,799,51403,17,58870,1
162023,808,96170,10,43856,1
112388,780,14168,27,31379,1
33007,413,91497,11,64729,0
83596,660,54879,5,28378,0
146101,640,64871,8,54353,1
113861,748,114632,15,49996,1
111740,479,116623,3,14031,0
40524,706,94388,2,65982,0
175354,495,103646,27,36683,1
156149,765,37174,15,17618,1
150501,610,104751,23,6587,1
45611,561,97491,26,62790,0
173056,718,11581,25,31480,1
39060,705,115155,29,20527,1
68303,442,76853,24,23569,0
64711,641,69046,11,11151,0
168026,615,54678,10,71094,1
98340,400,113392,4,59174,0
127974,543,116250,24,44739,0
174646,789,31649,17,32954,1
165256,311,93668,18,35303,0
175168,538,87325,22,34700,1
92728,341,19567,22,67568,0
36246,728,85404,5,66788,0
174453,457,94906,21,71045,0
152796,515,113069,17,37842,0
117263,761,101019,25,13900,1
160090,433,66944,5,1881,0
36302,366,83002,3,33037,0
92506,306,33803,11,1630,0
66157,825,23230,18,20789,1
79917,372,22862,28,46151,0
121646,698,48355,26,48920,1
108122,704,36259,28,67231,1
49519,429,104075,1,3262,0
105910,765,92445,16,66981,1
145430,505,35795,10,75485,0
96324,565,119604,10,54722,0
30408,836,13770,20,50818,1
84379,552,16093,15,29932,1
50053,588,51571,1,6901,0
165518,463,5193,1,8597,1
156994,394,105311,22,63909,0
123723,409,22569,7,72391,0
76356,635,16190,12,8263,1
35789,537,67824,9,63293,0
